ACCIONA,107.200,108.700,106.700,19/04
ACCIONA ENER,19.530,20.140,19.310,19/04
ACERINOX,9.955,9.990,9.825,19/04
ACS,38.220,38.360,37.620,19/04
AENA,173.200,174.000,171.900,19/04
AMADEUS IT GROUP,57.420,57.440,56.480,19/04
ARCELORMITTAL,23.820,23.880,23.440,19/04
BANCO SABADELL,1.485,1.488,1.457,19/04
BANKINTER,7.250,7.280,7.104,19/04
BBVA,10.205,10.270,10.135,19/04
CAIXABANK,4.806,4.813,4.722,19/04
CELLNEX TELECOM,30.700,30.890,30.150,19/04
COLONIAL,5.425,5.440,5.310,19/04
ENAGAS,13.680,13.690,13.430,19/04
ENDESA,17.420,17.640,17.330,19/04
FERROVIAL,33.220,33.560,32.940,19/04
FLUIDRA,18.990,19.110,18.840,19/04
GRIFOLS,8.346,8.482,8.220,19/04
IAG,1.968,1.986,1.890,19/04
IBERDROLA,11.340,11.415,11.230,19/04
INDITEX,43.740,43.920,42.890,19/04
INDRA,17.890,17.980,17.740,19/04
LOGISTA,25.200,25.200,24.840,19/04
MAPFRE,2.230,2.244,2.200,19/04
MELIÁ HOTELS,7.145,7.165,7.025,19/04
MERLIN PROP,10.210,10.250,10.090,19/04
NATURGY,22.960,23.100,22.760,19/04
REDEIA,15.940,15.950,15.690,19/04
REPSOL,14.945,15.180,14.730,19/04
ROVI,79.400,79.500,77.750,19/04
SACYR,3.310,3.318,3.242,19/04
SANTANDER,4.511,4.530,4.457,19/04
SOLARIA,9.655,10.060,9.605,19/04
TELEFÓNICA,4.007,4.009,3.931,19/04
UNICAJA BANCO,1.142,1.148,1.118,19/04
ACCIONA,107.200,108.700,106.700,19/04
ACCIONA ENER,19.530,20.140,19.310,19/04
ACERINOX,9.955,9.990,9.825,19/04
ACS,38.220,38.360,37.620,19/04
AENA,173.200,174.000,171.900,19/04
AMADEUS IT GROUP,57.420,57.440,56.480,19/04
ARCELORMITTAL,23.820,23.880,23.440,19/04
BANCO SABADELL,1.485,1.488,1.457,19/04
BANKINTER,7.250,7.280,7.104,19/04
BBVA,10.205,10.270,10.135,19/04
CAIXABANK,4.806,4.813,4.722,19/04
CELLNEX TELECOM,30.700,30.890,30.150,19/04
COLONIAL,5.425,5.440,5.310,19/04
ENAGAS,13.680,13.690,13.430,19/04
ENDESA,17.420,17.640,17.330,19/04
FERROVIAL,33.220,33.560,32.940,19/04
FLUIDRA,18.990,19.110,18.840,19/04
GRIFOLS,8.346,8.482,8.220,19/04
IAG,1.968,1.986,1.890,19/04
IBERDROLA,11.340,11.415,11.230,19/04
INDITEX,43.740,43.920,42.890,19/04
INDRA,17.890,17.980,17.740,19/04
LOGISTA,25.200,25.200,24.840,19/04
MAPFRE,2.230,2.244,2.200,19/04
MELIÁ HOTELS,7.145,7.165,7.025,19/04
MERLIN PROP,10.210,10.250,10.090,19/04
NATURGY,22.960,23.100,22.760,19/04
REDEIA,15.940,15.950,15.690,19/04
REPSOL,14.945,15.180,14.730,19/04
ROVI,79.400,79.500,77.750,19/04
SACYR,3.310,3.318,3.242,19/04
SANTANDER,4.511,4.530,4.457,19/04
SOLARIA,9.655,10.060,9.605,19/04
TELEFÓNICA,4.007,4.009,3.931,19/04
UNICAJA BANCO,1.142,1.148,1.118,19/04
