ACCIONA,109.200,110.700,105.000,26/04
ACCIONA ENER,19.270,19.750,18.870,26/04
ACERINOX,10.130,10.270,10.010,26/04
ACS,37.820,38.080,37.700,26/04
AENA,175.800,177.100,174.900,26/04
AMADEUS IT GROUP,59.640,59.960,59.300,26/04
ARCELORMITTAL,23.760,24.090,23.710,26/04
BANCO SABADELL,1.691,1.727,1.633,26/04
BANKINTER,7.326,7.356,7.266,26/04
BBVA,10.985,11.000,10.530,26/04
CAIXABANK,5.114,5.122,5.022,26/04
CELLNEX TELECOM,31.390,32.000,30.790,26/04
COLONIAL,5.560,5.625,5.475,26/04
ENAGAS,13.780,13.860,13.720,26/04
ENDESA,17.055,17.115,16.930,26/04
FERROVIAL,33.700,33.920,33.460,26/04
FLUIDRA,19.930,20.140,19.760,26/04
GRIFOLS,8.386,8.418,8.192,26/04
IAG,2.055,2.082,2.055,26/04
IBERDROLA,11.610,11.660,11.515,26/04
INDITEX,45.340,45.470,44.540,26/04
INDRA,18.200,18.290,18.000,26/04
LOGISTA,25.460,25.600,25.400,26/04
MAPFRE,2.284,2.302,2.256,26/04
MELIÁ HOTELS,7.415,7.465,7.360,26/04
MERLIN PROP,10.560,10.650,10.310,26/04
NATURGY,23.360,23.620,23.260,26/04
REDEIA,15.570,15.700,15.530,26/04
REPSOL,14.720,15.050,14.670,26/04
ROVI,85.000,85.300,82.500,26/04
SACYR,3.322,3.354,3.312,26/04
SANTANDER,4.851,4.899,4.793,26/04
SOLARIA,9.565,9.785,9.555,26/04
TELEFÓNICA,4.222,4.240,4.154,26/04
UNICAJA BANCO,1.195,1.199,1.178,26/04
ACCIONA,109.200,110.700,105.000,26/04
ACCIONA ENER,19.270,19.750,18.870,26/04
ACERINOX,10.130,10.270,10.010,26/04
ACS,37.820,38.080,37.700,26/04
AENA,175.800,177.100,174.900,26/04
AMADEUS IT GROUP,59.640,59.960,59.300,26/04
ARCELORMITTAL,23.760,24.090,23.710,26/04
BANCO SABADELL,1.691,1.727,1.633,26/04
BANKINTER,7.326,7.356,7.266,26/04
BBVA,10.985,11.000,10.530,26/04
CAIXABANK,5.114,5.122,5.022,26/04
CELLNEX TELECOM,31.390,32.000,30.790,26/04
COLONIAL,5.560,5.625,5.475,26/04
ENAGAS,13.780,13.860,13.720,26/04
ENDESA,17.055,17.115,16.930,26/04
FERROVIAL,33.700,33.920,33.460,26/04
FLUIDRA,19.930,20.140,19.760,26/04
GRIFOLS,8.386,8.418,8.192,26/04
IAG,2.055,2.082,2.055,26/04
IBERDROLA,11.610,11.660,11.515,26/04
INDITEX,45.340,45.470,44.540,26/04
INDRA,18.200,18.290,18.000,26/04
LOGISTA,25.460,25.600,25.400,26/04
MAPFRE,2.284,2.302,2.256,26/04
MELIÁ HOTELS,7.415,7.465,7.360,26/04
MERLIN PROP,10.560,10.650,10.310,26/04
NATURGY,23.360,23.620,23.260,26/04
REDEIA,15.570,15.700,15.530,26/04
REPSOL,14.720,15.050,14.670,26/04
ROVI,85.000,85.300,82.500,26/04
SACYR,3.322,3.354,3.312,26/04
SANTANDER,4.851,4.899,4.793,26/04
SOLARIA,9.565,9.785,9.555,26/04
TELEFÓNICA,4.222,4.240,4.154,26/04
UNICAJA BANCO,1.195,1.199,1.178,26/04
