ACCIONA,111.900,112.600,109.500,14:54
ACCIONA ENER,19.820,19.860,18.960,14:54
ACERINOX,10.190,10.290,10.140,14:55
ACS,37.700,37.920,37.500,14:55
AENA,180.400,181.500,175.000,14:56
AMADEUS IT GROUP,60.900,61.180,59.700,14:55
ARCELORMITTAL,24.020,24.080,23.440,14:52
BANCO SABADELL,1.867,1.970,1.861,14:56
BANKINTER,7.570,7.570,7.456,14:56
BBVA,9.850,10.080,9.804,14:56
CAIXABANK,4.981,5.048,4.925,14:56
CELLNEX TELECOM,31.930,32.000,31.050,14:56
COLONIAL,5.625,5.630,5.460,14:54
ENAGAS,13.790,13.910,13.770,14:56
ENDESA,17.260,17.345,17.110,14:56
FERROVIAL,33.940,34.160,33.660,14:53
FLUIDRA,20.020,20.080,19.700,14:50
GRIFOLS,8.856,9.140,8.730,14:56
IAG,2.073,2.074,2.036,14:55
IBERDROLA,11.590,11.670,11.500,14:55
INDITEX,42.830,43.260,42.210,14:55
INDRA,17.960,18.080,17.840,14:54
LOGISTA,25.660,25.680,25.480,14:51
MAPFRE,2.276,2.286,2.262,14:52
MELIÁ HOTELS,7.405,7.410,7.300,14:40
MERLIN PROP,10.760,10.760,10.540,14:54
NATURGY,23.800,23.980,23.600,14:56
REDEIA,15.820,15.880,15.500,14:56
REPSOL,14.360,14.550,14.315,14:55
ROVI,82.800,84.400,82.050,14:56
SACYR,3.316,3.316,3.240,14:54
SANTANDER,4.574,4.620,4.541,14:56
SOLARIA,9.880,9.910,9.600,14:52
TELEFÓNICA,4.229,4.237,4.183,14:55
UNICAJA BANCO,1.285,1.285,1.251,14:56
